classe,metodo,f1_score,recall,fbeta_score,precisions_score,auc_scores,tempo_corrido,matriz_da_confusao
cd_box,entropy_shannon,79.90708478513356%,75.6043956043956%,82.73208273208272%,86.86948251475394%,84.5763913505849%,0.476001501083374s,"{'class': 'cd_box', 'method': 'entropy_shannon', 'tn': 899, 'fp': 62, 'fn': 111, 'tp': 344}"
cd_box,entropy_shannon,80.90395480225988%,76.00849256900213%,84.1560883874001%,87.59799242095518%,85.0412833215381%,0.5543529987335205s,"{'class': 'cd_box', 'method': 'entropy_shannon', 'tn': 889, 'fp': 56, 'fn': 113, 'tp': 358}"
cd_box,entropy_shannon,78.35990888382689%,75.6043956043956%,80.11178388448998%,85.07281466720947%,83.69189603320717%,0.44765758514404297s,"{'class': 'cd_box', 'method': 'entropy_shannon', 'tn': 882, 'fp': 79, 'fn': 111, 'tp': 344}"
cd_box,entropy_shannon,79.04869762174405%,74.4136460554371%,82.11764705882352%,86.16173450201048%,83.7749328482043%,0.4156365394592285s,"{'class': 'cd_box', 'method': 'entropy_shannon', 'tn': 882, 'fp': 65, 'fn': 120, 'tp': 349}"
cd_box,entropy_shannon,80.67415730337079%,78.04347826086956%,82.33944954128441%,86.62248219255626%,85.30835000909588%,0.3941612243652344s,"{'class': 'cd_box', 'method': 'entropy_shannon', 'tn': 885, 'fp': 71, 'fn': 101, 'tp': 359}"
cd_box,entropy_tsallis,78.69955156950672%,76.63755458515283%,79.99088422971741%,84.98972284531709%,83.98683574769125%,0.396726131439209s,"{'class': 'cd_box', 'method': 'entropy_tsallis', 'tn': 875, 'fp': 83, 'fn': 107, 'tp': 351}"
cd_box,entropy_tsallis,81.55339805825244%,78.91440501043841%,83.22324966974901%,86.97055785123968%,85.72187699828217%,0.37150120735168457s,"{'class': 'cd_box', 'method': 'entropy_tsallis', 'tn': 867, 'fp': 70, 'fn': 101, 'tp': 378}"
cd_box,entropy_tsallis,80.3030303030303%,78.60169491525424%,81.35964912280701%,85.8012337972313%,85.01059322033898%,0.34115171432495117s,"{'class': 'cd_box', 'method': 'entropy_tsallis', 'tn': 863, 'fp': 81, 'fn': 101, 'tp': 371}"
cd_box,entropy_tsallis,80.36622583926754%,80.12170385395537%,80.5136567468406%,85.0145457751135%,84.91458973846197%,0.34544849395751953s,"{'class': 'cd_box', 'method': 'entropy_tsallis', 'tn': 828, 'fp': 95, 'fn': 98, 'tp': 395}"
cd_box,entropy_tsallis,76.92307692307692%,74.235807860262%,78.6308973172988%,83.946507326789%,82.62938618482829%,0.34494447708129883s,"{'class': 'cd_box', 'method': 'entropy_tsallis', 'tn': 872, 'fp': 86, 'fn': 118, 'tp': 340}"
cd_box,complex,99.32584269662922%,98.88143176733782%,99.59441189725102%,99.63019587554723%,99.3891162964656%,0.6548545360565186s,"{'class': 'cd_box', 'method': 'complex', 'tn': 968, 'fp': 1, 'fn': 5, 'tp': 442}"
cd_box,complex,99.36575052854123%,98.73949579831933%,99.7453310696095%,99.68287526427062%,99.36974789915966%,0.6120162010192871s,"{'class': 'cd_box', 'method': 'complex', 'tn': 940, 'fp': 0, 'fn': 6, 'tp': 470}"
cd_box,complex,99.66024915062289%,99.32279909706546%,99.86382206082615%,99.84631147540983%,99.66139954853273%,0.5908939838409424s,"{'class': 'cd_box', 'method': 'complex', 'tn': 973, 'fp': 0, 'fn': 3, 'tp': 440}"
cd_box,complex,99.89094874591058%,99.78213507625271%,99.95635093845483%,99.94780793319416%,99.89106753812635%,0.6000156402587891s,"{'class': 'cd_box', 'method': 'complex', 'tn': 957, 'fp': 0, 'fn': 1, 'tp': 458}"
cd_box,complex,99.89888776541962%,99.79797979797979%,99.9595305544314%,99.94577006507592%,99.8989898989899%,0.6164417266845703s,"{'class': 'cd_box', 'method': 'complex', 'tn': 921, 'fp': 0, 'fn': 1, 'tp': 494}"
