classe,metodo,f1_score,recall,fbeta_score,precisions_score,auc_scores,tempo_corrido,matriz_da_confusao,modelo
haca_box,entropy_shannon,39.550561797752806%,28.57142857142857%,51.4018691588785%,72.2689816962798%,61.69586227725762%,0.3896799087524414s,"{'class': 'haca_box', 'method': 'entropy_shannon', 'tn': 897, 'fp': 49, 'fn': 220, 'tp': 88}",haca_box_entropy_shannon_28-05-2023_14-05-55.pickle
haca_box,entropy_tsallis,55.68181818181819%,50.170648464163826%,59.61070559610705%,74.11270958177604%,70.50676023624425%,0.34514498710632324s,"{'class': 'haca_box', 'method': 'entropy_tsallis', 'tn': 873, 'fp': 88, 'fn': 146, 'tp': 147}",haca_box_entropy_tsallis_28-05-2023_14-05-55.pickle
haca_box,complex,97.82608695652173%,96.3302752293578%,98.7460815047022%,99.04420107127588%,98.05726274952248%,0.7430224418640137s,"{'class': 'haca_box', 'method': 'complex', 'tn': 925, 'fp': 2, 'fn': 12, 'tp': 315}",haca_box_complex_28-05-2023_14-05-55.pickle
haca_box,fourier_real,94.07894736842105%,91.0828025477707%,95.9731543624161%,97.18112244897958%,95.11586935899173%,0.6412763595581055s,"{'class': 'haca_box', 'method': 'fourier_real', 'tn': 932, 'fp': 8, 'fn': 28, 'tp': 286}",haca_box_fourier_real_28-05-2023_14-05-55.pickle
haca_box,fourier_zcurve,98.11320754716981%,96.62162162162163%,99.03047091412742%,99.30872089042947%,98.25861874400496%,0.6386504173278809s,"{'class': 'haca_box', 'method': 'fourier_zcurve', 'tn': 957, 'fp': 1, 'fn': 10, 'tp': 286}",haca_box_fourier_zcurve_28-05-2023_14-05-55.pickle
haca_box,entropy_shannon,38.47874720357942%,29.965156794425084%,46.38619201725997%,67.68852833638026%,61.156311592662384%,0.44730591773986816s,"{'class': 'haca_box', 'method': 'entropy_shannon', 'tn': 893, 'fp': 74, 'fn': 201, 'tp': 86}",haca_box_entropy_shannon_28-05-2023_14-05-55.pickle
haca_box,entropy_tsallis,55.27831094049904%,46.45161290322581%,62.391681109185434%,76.16540875073272%,69.67707763805359%,0.34408068656921387s,"{'class': 'haca_box', 'method': 'entropy_tsallis', 'tn': 877, 'fp': 67, 'fn': 166, 'tp': 144}",haca_box_entropy_tsallis_28-05-2023_14-05-55.pickle
haca_box,complex,98.19967266775778%,96.7741935483871%,99.07529722589169%,99.30922807152095%,98.33413067249863%,0.7339401245117188s,"{'class': 'haca_box', 'method': 'complex', 'tn': 943, 'fp': 1, 'fn': 10, 'tp': 300}",haca_box_complex_28-05-2023_14-05-55.pickle
haca_box,fourier_real,94.33272394881169%,91.81494661921708%,95.91078066914498%,97.33227299016774%,95.4963736179333%,0.5772452354431152s,"{'class': 'haca_box', 'method': 'fourier_real', 'tn': 965, 'fp': 8, 'fn': 23, 'tp': 258}",haca_box_fourier_real_28-05-2023_14-05-55.pickle
haca_box,fourier_zcurve,96.40062597809076%,94.76923076923077%,97.4067046173308%,98.14033066811221%,97.06168750517512%,0.6174564361572266s,"{'class': 'haca_box', 'method': 'fourier_zcurve', 'tn': 923, 'fp': 6, 'fn': 17, 'tp': 308}",haca_box_fourier_zcurve_28-05-2023_14-05-55.pickle
haca_box,entropy_shannon,41.995841995842%,33.443708609271525%,49.60707269155207%,68.86345329349098%,62.62521564917357%,0.42226481437683105s,"{'class': 'haca_box', 'method': 'entropy_shannon', 'tn': 874, 'fp': 78, 'fn': 201, 'tp': 101}",haca_box_entropy_shannon_28-05-2023_14-05-55.pickle
haca_box,entropy_tsallis,56.781193490054264%,50.159744408945684%,61.665357423409276%,75.01602564102564%,70.66967029161417%,0.35358500480651855s,"{'class': 'haca_box', 'method': 'entropy_tsallis', 'tn': 858, 'fp': 83, 'fn': 156, 'tp': 157}",haca_box_entropy_tsallis_28-05-2023_14-05-55.pickle
haca_box,complex,98.37662337662337%,97.74193548387096%,98.76140808344198%,99.14060560933234%,98.71206943685074%,0.7963197231292725s,"{'class': 'haca_box', 'method': 'complex', 'tn': 941, 'fp': 3, 'fn': 7, 'tp': 303}",haca_box_complex_28-05-2023_14-05-55.pickle
