nameseq,average,median,maximum,minimum,peak,none_levated_peak,sample_standard_deviation,population_standard_deviation,percentile15,percentile25,percentile50,percentile75,amplitude,variance,interquartile_range,semi_interquartile_range,coefficient_of_variation,skewness,kurtosis,label
GGgCD11b,64037.00000000003,608.0126872752022,6804347.0,179.51526284094717,0.0006558708246794818,0.3787148070204521,604553.8203716852,606967.2184721412,305.37573046394243,382.8333585850939,608.0126872752022,2440.606084476819,6804167.484737159,368409204299.808,2057.7727258917253,1028.8863629458626,9.440695541197822,0.3147560325087092,0.12384726906129596,real
GGgCD12a,15122.000000000005,266.99931312732434,929444.0,38.58546390615529,0.0021822510249966927,0.4748367613136167,96590.67202375185,97082.23078117323,109.64070110090522,157.1793903273807,266.99931312732434,608.6111343839252,929405.4145360938,9424959533.44898,451.4317440565445,225.71587202827226,6.387427061483389,0.46137997724727936,0.059335218180305654,real
GGgCD12b,45383.0,433.0533678273705,3801803.0,17.95500731418336,0.000771213890663905,0.3651374825810965,371221.3511693529,373001.7995190145,156.18165664040077,212.9146788762112,433.0533678273705,1377.1417594615411,3801785.044992686,139130342444.42307,1164.22708058533,582.113540292665,8.179744643795097,0.36325992422509873,0.08933224038345976,real
GGgCD13a,21656.000000000004,319.38206119364656,1617816.0,52.941923475077516,0.001462258342568649,0.4234231516583168,165963.55739739974,166844.00685109326,144.71250688029153,204.802788032149,319.38206119364656,803.0081066789392,1617763.0580765249,27836922622.12766,598.2053186467901,299.1026593233951,7.663629358949008,0.38568620015264843,0.09781953523580049,real
GGgCD13b,29048.999999999978,457.39783803816135,1679787.0,55.72495897740079,0.0010671623808048477,0.33300113444397406,180408.9379770304,181386.7713612209,212.0197643225569,274.18838039770316,457.39783803816135,1102.7020944678761,1679731.2750410226,32901160824.847828,828.5137140701729,414.25685703508645,6.210504250646513,0.4754465463169362,0.054436866208503853,real
GGgCD14,6901.999999999999,211.607231658332,350500.0,35.8887772961089,0.004394861392832996,0.5130193400838569,38282.703222212505,38494.79738383126,80.07143872021229,98.2040419530191,211.607231658332,883.6550296724454,350464.1112227039,1481849425.6222222,785.4509877194263,392.72549385971314,5.546610145206102,0.5242884283411638,0.1417702315564162,real
GGgCD15a,2796.0000000000005,258.7311300787204,61160.0,24.0,0.012398664759179778,0.718627539661891,9190.202609300843,9234.70748271228,83.64499572677057,131.24885464641142,258.7311300787204,649.081172832235,61136.0,85279822.29126215,517.8323181858236,258.9161590929118,3.286910804470973,0.8282523175343703,0.050353795545423685,real
GGgCD15b,17177.000000000004,281.61697149073217,1318779.0,61.36945910471387,0.0021152316081581956,0.5063360675546857,127463.484206262,128052.23322470144,109.50321207584527,134.641006867393,281.61697149073217,874.950469294257,1318717.6305408953,16397374433.833334,740.309462426864,370.154731213432,7.420590569148395,0.3976523111788412,0.09026153248742219,real
GGgCD15c,3265.9999999999986,196.1312821538424,114564.0,14.77397697197836,0.010104102878138399,0.6622966141456812,12952.384259278288,13018.300126501672,81.0,117.8178043959433,196.1312821538424,568.1925999073957,114549.22602302802,169476138.18367347,450.37479551145236,225.18739775572618,3.9658249416038864,0.7110355876711484,0.03841168521917228,real
GGgCD16,35341.0,581.9835143673359,2705435.0,144.02036635572892,0.0009526234873565169,0.33078367016898,269083.78044393536,270425.8525122552,302.9166334299241,380.52563740104245,581.9835143673359,1977.144243221982,2705290.979633644,73130141706.98,1596.6186058209396,798.3093029104698,7.613926613393378,0.3875263283608598,0.06170627234792725,real
