nameseq,average,median,maximum,minimum,peak,none_levated_peak,sample_standard_deviation,population_standard_deviation,percentile15,percentile25,percentile50,percentile75,amplitude,variance,interquartile_range,semi_interquartile_range,coefficient_of_variation,skewness,kurtosis,label
Oa2163,184.25,82.52279566373065,2056.4354484478595,0.25,0.24785165083672545,4.02382552937263,277.2679209717561,278.28542134882684,19.076019824853013,38.639120560389564,82.52279566373065,278.3407808410866,2056.1854484478595,77442.77573529408,239.70166028069704,119.85083014034852,1.5048462467937915,1.1006740770415175,0.2887544521910329,real
bOaHACA22,187.7499999999998,118.30003059543809,1285.210950511367,0.024832399149550266,0.23968042609853554,3.709297191382729,211.12881139247673,211.91514115852792,47.86379966340542,68.08285527573824,118.30003059543809,219.96062632175187,1285.1861181122174,44908.02705223882,151.87777104601363,75.93888552300682,1.1245209661383593,0.986837877973813,0.21597575934262928,real
bOaHACA28,201.74999999999997,117.00000000000001,818.9804992996391,7.7875151618361524,0.2230483271375465,3.5969490400077966,202.9245549459207,203.68032871627574,30.787884903607473,49.767735636518424,117.00000000000001,274.0355903561838,811.1929841378029,41485.67630597014,224.26785471966537,112.13392735983268,1.0058218336848612,1.2529287057830798,0.20357963428734166,real
bOaHACA36A,183.99999999999991,133.85483879382144,925.2202780694964,8.410270800460022,0.24637681159420302,3.746241943103536,171.90113437671084,172.53663057127574,29.05893897580481,57.75071980674956,133.85483879382144,255.8018636441488,916.8100072690364,29768.888888888887,198.05114383739925,99.02557191869963,0.9342452955256029,0.8751279284106714,0.23959799970862225,real
bOaHACA56,166.75000000000014,117.46336758333099,558.4510316799756,3.6275725177877747,0.2618690654672661,3.746572842585142,143.9483414284444,144.50092826425293,36.201078973027464,47.2955424800457,117.46336758333099,268.39607736657916,554.8234591621878,20880.518269230768,221.10053488653347,110.55026744326673,0.8632584193609851,1.0271733302568649,0.30318727630901693,real
bOa1860i,164.24999999999994,142.8359191475729,925.8597179595608,2.1324914218851942,0.278031456113648,3.9770600000896654,153.64732343910197,154.2111687227081,26.228723321113918,56.25,142.8359191475729,222.2097423515788,923.7272265376756,23781.084558823542,165.9597423515788,82.9798711757894,0.9354479357022955,0.41811494739603144,0.23674654607167403,real
bOa1964i1,155.0000000000001,131.0994215022921,604.6515805219977,0.9191100690558847,0.3010752688172041,4.121441538002157,124.85191228010885,125.30021502332741,31.360900028512205,48.066392752877455,131.0994215022921,230.0071265813362,603.7324704529418,15700.143884892084,181.94073382845875,90.97036691422937,0.8054962082587662,0.5742942513548301,0.28254698106740045,real
bOa1964i2,158.9999999999999,111.27140468936062,849.628595004773,0.0,0.2935010482180295,4.318907031130556,171.74690681348525,172.36359427992187,15.362403502638845,24.570328417928167,111.27140468936062,230.62597969050464,849.628595004773,29709.208633093516,206.05565127257648,103.02782563628824,1.0801692252420463,0.8337022691617705,0.2873521258673601,real
Oa1809,166.25000000000009,133.68462056144563,639.4436730197738,1.03970272574329,0.2746867167919798,3.974094437946312,147.87325654086342,148.41591251693768,21.39752667243221,52.037940654063064,133.68462056144563,256.58663820275467,638.4039702940305,22027.283088235297,204.54869754869162,102.27434877434581,0.8894631972382758,0.6606748278967262,0.29943412051715357,real
Oa1849,170.75000000000003,116.89370507705816,1195.6601043060143,0.25,0.2713518789653489,4.064385120668029,192.9783018890984,193.67623654297208,32.76356118580007,55.009924165828835,116.89370507705816,223.20440646618277,1195.4101043060143,37510.48460144927,168.19448230035394,84.09724115017697,1.1301803917370328,0.8372386075905919,0.23584906044787496,real
