classe,metodo,f1_score,recall,fbeta_score,precisions_score,auc_scores,tempo_corrido,modelo
cd_box,entropy_shannon,80.30303030303031%,79.27350427350427%,80.93368237347295%,85.62774122807018%,85.15362977388293%,0.30609703063964844s,cd_box_entropy_shannon_15-05-2023_15-40-59.pickle
cd_box,entropy_tsallis,80.6201550387597%,79.82456140350878%,81.10516934046346%,85.96872164619998%,85.58936403508773%,0.31816601753234863s,cd_box_entropy_tsallis_15-05-2023_15-40-59.pickle
cd_box,complex,99.77168949771689%,99.54441913439635%,99.90855052583449%,99.89785495403474%,99.77220956719817%,0.5311779975891113s,cd_box_complex_15-05-2023_15-40-59.pickle
cd_box,fourier_real,98.52008456659618%,98.10526315789474%,98.77066553624417%,98.99302396117683%,98.78695676491975%,0.47046470642089844s,cd_box_fourier_real_15-05-2023_15-40-59.pickle
cd_box,fourier_zcurve,99.0228013029316%,98.7012987012987%,99.21671018276764%,99.35972299055463%,99.19341664624683%,0.512617826461792s,cd_box_fourier_zcurve_15-05-2023_15-40-59.pickle
cd_box,entropy_shannon,79.01785714285712%,75.0%,81.64206642066421%,85.79770237370663%,83.79237288135593%,0.3062100410461426s,cd_box_entropy_shannon_15-05-2023_15-40-59.pickle
cd_box,entropy_tsallis,80.34006376195538%,81.6414686825054%,79.57894736842105%,85.00883210962522%,85.57414462456855%,0.3161139488220215s,cd_box_entropy_tsallis_15-05-2023_15-40-59.pickle
cd_box,complex,99.77628635346755%,99.77628635346755%,99.77628635346755%,99.83654358953046%,99.83654358953046%,0.5234470367431641s,cd_box_complex_15-05-2023_15-40-59.pickle
cd_box,fourier_real,98.18569903948773%,97.87234042553192%,98.37467921300257%,98.7236649420217%,98.56619135441501%,0.48102903366088867s,cd_box_fourier_real_15-05-2023_15-40-59.pickle
cd_box,fourier_zcurve,98.33333333333333%,98.12889812889813%,98.456403838131%,98.78905492811198%,98.69011751364694%,0.5096526145935059s,cd_box_fourier_zcurve_15-05-2023_15-40-59.pickle
cd_box,entropy_shannon,77.40492170022371%,73.93162393162393%,79.6500920810313%,84.44871247688148%,82.74640268311155%,0.3035871982574463s,cd_box_entropy_shannon_15-05-2023_15-40-59.pickle
cd_box,entropy_tsallis,78.2122905027933%,78.47533632286996%,78.05530776092773%,84.01169552930446%,84.13457537792983%,0.31722307205200195s,cd_box_entropy_tsallis_15-05-2023_15-40-59.pickle
cd_box,complex,99.77578475336323%,99.77578475336323%,99.77578475336323%,99.83634598492903%,99.83634598492903%,0.5175960063934326s,cd_box_complex_15-05-2023_15-40-59.pickle
haca_box,fourier_real,96.29629629629629%,94.07894736842105%,97.6775956284153%,98.37673486907998%,96.82894736842107%,0.5246994495391846s,haca_box_fourier_real_15-05-2023_15-41-10.pickle
haca_box,fourier_zcurve,97.68339768339769%,96.56488549618321%,98.36702954898911%,98.96316069639279%,98.13123307067225%,0.6150965690612793s,haca_box_fourier_zcurve_15-05-2023_15-41-10.pickle
haca_box,entropy_shannon,39.823008849557525%,29.31596091205212%,50.732807215332585%,71.25089393986505%,61.754073381052464%,0.29894328117370605s,haca_box_entropy_shannon_15-05-2023_15-41-10.pickle
haca_box,entropy_tsallis,57.933579335793354%,50.482315112540185%,63.562753036437236%,76.45580226225388%,71.3175096241386%,0.30907726287841797s,haca_box_entropy_tsallis_15-05-2023_15-41-10.pickle
haca_box,complex,97.74696707105718%,95.59322033898306%,99.08643710470835%,99.3312757201646%,97.79661016949153%,0.6557695865631104s,haca_box_complex_15-05-2023_15-41-10.pickle
haca_box,fourier_real,96.09507640067912%,93.3993399339934%,97.78852798894265%,98.44246662428479%,96.5419412603721%,0.5330169200897217s,haca_box_fourier_real_15-05-2023_15-41-10.pickle
haca_box,fourier_zcurve,97.55244755244756%,96.20689655172414%,98.37799717912552%,98.9022414849838%,97.94784661611104%,0.5331542491912842s,haca_box_fourier_zcurve_15-05-2023_15-41-10.pickle
haca_box,entropy_shannon,39.91416309012875%,31.20805369127517%,47.938144329896915%,68.2402657195475%,61.68143270337817%,0.28946423530578613s,haca_box_entropy_shannon_15-05-2023_15-41-10.pickle
haca_box,entropy_tsallis,59.391771019677996%,53.03514376996805%,63.99383191981496%,76.44817073170731%,72.26677486054194%,0.2935066223144531s,haca_box_entropy_tsallis_15-05-2023_15-41-10.pickle
haca_box,complex,97.15189873417721%,94.75308641975309%,98.65038560411311%,98.93914225309575%,97.32277976901632%,0.6693198680877686s,haca_box_complex_15-05-2023_15-41-10.pickle
haca_box,fourier_real,97.4003466204506%,96.89655172413794%,97.70514603616134%,98.48934705922623%,98.1370725425669%,0.5676047801971436s,haca_box_fourier_real_15-05-2023_15-41-10.pickle
haca_box,fourier_zcurve,96.06837606837607%,93.9799331103679%,97.36659736659736%,98.19612205975842%,96.72818645047192%,0.5451383590698242s,haca_box_fourier_zcurve_15-05-2023_15-41-10.pickle
haca_box,entropy_shannon,44.08163265306123%,34.95145631067961%,52.27492739593417%,70.46799132910773%,63.613294292905955%,0.2875344753265381s,haca_box_entropy_shannon_15-05-2023_15-41-10.pickle
haca_box,entropy_tsallis,56.031128404669275%,47.21311475409836%,63.102541630149%,76.74641148325358%,70.1818998428026%,0.28796935081481934s,haca_box_entropy_tsallis_15-05-2023_15-41-10.pickle
haca_box,complex,97.99331103678931%,97.34219269102991%,98.38817998656818%,98.90862649483338%,98.4612327568476%,0.6360759735107422s,haca_box_complex_15-05-2023_15-41-10.pickle
haca_box,fourier_real,96.95121951219512%,95.20958083832335%,98.02712700369914%,98.52051288886518%,97.38739911481386%,0.5348494052886963s,haca_box_fourier_real_15-05-2023_15-41-10.pickle
haca_box,fourier_zcurve,97.56888168557536%,97.09677419354838%,97.85435630689207%,98.54761650884501%,98.2305904866047%,0.5298647880554199s,haca_box_fourier_zcurve_15-05-2023_15-41-10.pickle
haca_box,entropy_shannon,37.362637362637365%,28.333333333333332%,46.19565217391304%,67.63773518447856%,60.49790356394129%,0.37932372093200684s,haca_box_entropy_shannon_15-05-2023_15-41-10.pickle
haca_box,entropy_tsallis,53.159851301115246%,44.827586206896555%,59.83263598326359%,74.14598636754683%,68.34962198045362%,0.2941000461578369s,haca_box_entropy_tsallis_15-05-2023_15-41-10.pickle
haca_box,complex,96.97933227344993%,94.42724458204334%,98.57789269553975%,98.88723421858194%,97.15991659821823%,0.6351361274719238s,haca_box_complex_15-05-2023_15-41-10.pickle
haca_box,fourier_real,97.26962457337883%,95.31772575250837%,98.47961299239807%,98.92767962987652%,97.55415083436935%,0.5443861484527588s,haca_box_fourier_real_15-05-2023_15-41-10.pickle
haca_box,fourier_zcurve,98.22695035460993%,97.19298245614036%,98.8579586009993%,99.23132065067549%,98.49329205366357%,0.5372626781463623s,haca_box_fourier_zcurve_15-05-2023_15-41-10.pickle
haca_box,entropy_shannon,40.79822616407983%,30.76923076923077%,50.71664829106947%,70.87114337568057%,62.24325412807089%,0.2888908386230469s,haca_box_entropy_shannon_15-05-2023_15-41-10.pickle
haca_box,entropy_tsallis,53.38645418326693%,45.89041095890411%,59.187279151943464%,74.33771209633278%,68.99510152934812%,0.29440927505493164s,haca_box_entropy_tsallis_15-05-2023_15-41-10.pickle
haca_box,complex,97.17138103161398%,95.42483660130719%,98.25033647375506%,98.76159841642955%,97.55419045255233%,0.6318964958190918s,haca_box_complex_15-05-2023_15-41-10.pickle
