nameseq,k1,k2,label
DQ789448|DQ789448.1,1.975452909603566,3.8055371970576553,real
DQ789449|DQ789449.1,1.9781036460939188,3.7637146077525947,real
DQ789450|DQ789450.1,1.9911247036784319,3.9362277153997094,real
DQ789451|DQ789451.1,1.9456172665825535,3.75408145556414,real
DQ789452|DQ789452.1,1.9936085608919827,3.8525135448542844,real
DQ789453|DQ789453.1,1.9300016810763296,3.76350784983858,real
DQ789454|DQ789454.1,1.9130706439202347,3.7036787074013864,real
DQ789455|DQ789455.1,1.9289071819639685,3.7309538990150886,real
DQ789456|DQ789456.1,1.9784232672136581,3.863345767029329,real
DQ789457|DQ789457.1,1.9920689844274437,3.8489606780863284,real
DQ789458|DQ789458.1,1.9838872842218809,3.790866014451436,real
DQ789528|DQ789528.1,1.98329126776483,3.815647673428795,real
DQ789529|DQ789529.1,1.9795925854784135,3.7559432371392663,real
DQ789530|DQ789530.1,1.967374057324486,3.716140287195605,real
DQ789531|DQ789531.1,1.9860614677938961,3.9218592346691836,real
DQ789532|DQ789532.1,1.9759583325044727,3.8620656526452004,real
DQ789533|DQ789533.1,1.9415355079086514,3.7270478855180436,real
DQ789534|DQ789534.1,1.9803770435803743,3.8782718559474136,real
DQ789535|DQ789535.1,1.9770604252183488,3.845561215493968,real
DQ789536|DQ789536.1,1.9965167955263892,3.8930195433686636,real
DQ789537|DQ789537.1,1.9876582280649802,3.8441227221068934,real
DQ789538|DQ789538.1,1.902625148698653,3.674227761332861,real
DQ789539|DQ789539.1,1.932779984414807,3.631110038298753,real
DQ789540|DQ789540.1,1.971094369100288,3.802995410136636,real
DQ789541|DQ789541.1,1.964760017640402,3.825914718981007,real
DQ789542|DQ789542.1,1.9359767970626356,3.6792280109052764,real
DQ789543|DQ789543.1,1.9767303114440489,3.868482821520735,real
DQ789544|DQ789544.1,1.9696464874797774,3.8262506447600386,real
DQ789545|DQ789545.1,1.9442903401792813,3.8242149307918183,real
DQ789546|DQ789546.1,1.9834236896959019,3.8531235872459746,real
DQ789547|DQ789547.1,1.9884397060852605,3.9418541574648924,real
DQ789548|DQ789548.1,1.9591492002935087,3.790859310863388,real
DQ789549|DQ789549.1,1.911626512784403,3.5775894919404774,real
DQ789550|DQ789550.1,1.9767473942968066,3.7738015446612674,real
DQ789551|DQ789551.1,1.988488682740626,3.892557973610549,real
DQ789552|DQ789552.1,1.995208063840645,3.917700892566985,real
DQ789553|DQ789553.1,1.967374057324486,3.793707188388994,real
DQ789554|DQ789554.1,1.9645009712561572,3.875977104928274,real
DQ789555|DQ789555.1,1.9805341223317288,3.7377991428198296,real
DQ789556|DQ789556.1,1.9686079458375358,3.8684777855327304,real
DQ789557|DQ789557.1,1.9285896010283508,3.73655200927487,real
DQ789558|DQ789558.1,1.9844073188871565,3.793340612411094,real
DQ789559|DQ789559.1,1.922380435659773,3.713158316714171,real
DQ789560|DQ789560.1,1.8588046258488538,3.5052867587539223,real
DQ789561|DQ789561.1,1.7686344613653522,3.457736021453733,real
DQ789562|DQ789562.1,1.925479683093141,3.633675290115598,real
DQ789563|DQ789563.1,1.9478443137454686,3.789159328082456,real
DQ789564|DQ789564.1,1.9928699714093796,3.8385359019399954,real
DQ789565|DQ789565.1,1.8916010798951595,3.691466453235346,real
DQ789566|DQ789566.1,1.9841165493994959,3.844428990426152,real
DQ789567|DQ789567.1,1.9783337371996064,3.8929852503584526,real
DQ789568|DQ789568.1,1.9895262014064365,3.884117283655226,real
DQ789508|DQ789508.1,1.9780671172555166,3.8808925173670077,real
DQ789509|DQ789509.1,1.9955075943466825,3.8981655605836245,real
DQ789510|DQ789510.1,1.9856006465398501,3.7818900322184956,real
DQ789511|DQ789511.1,1.9289071819639685,3.7309538990150886,real
DQ789512|DQ789512.1,1.9694748020551995,3.805545538528612,real
DQ789513|DQ789513.1,1.950920755288494,3.838511379416425,real
DQ789514|DQ789514.1,1.9551606499200085,3.7685937507738325,real
DQ789515|DQ789515.1,1.9688104486406925,3.679254018681028,real
DQ789516|DQ789516.1,1.9791544461930677,3.6083996140817307,real
